"Polnoletne osebe zoper katere je bil kazenski postopek pred senatom pravnomoèno konèan po: KAZNIVO DEJANJE, VRSTA ODLOÈBE, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";"Moški";" ";" ";" ";"Ženske";" ";" ";" "
" ";" ";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017"
"KAZNIVO DEJANJE - SKUPAJ"
" ";"Odloèba sodišèa - SKUPAJ";13573;12622;11013;10279;11489;10785;9250;8701;2084;1837;1763;1578
" ";"11 Obtožni akt zavržen";409;450;442;454;274;328;324;323;135;122;118;131
" ";"12 Postopek ustavljen";2287;2826;2555;2472;1929;2432;2156;2099;358;394;399;373
" ";"13 Oprošèen obtožbe";668;597;501;488;543;499;411;391;125;98;90;97
" ";"14 Obtožba zavrnjena";794;823;828;613;692;694;668;496;102;129;160;117
" ";"15 Izreèen varnostni ukrep brez izreka kazni";35;43;32;46;32;37;28;38;3;6;4;8
" ";"16 Spoznan za krivega";9375;7883;6655;6206;8014;6795;5663;5354;1361;1088;992;852
" ";"17 Odstop tuji državi";5;-;-;-;5;-;-;-;-;-;-;-
"1. KAZENSKI ZAKONIK (KZ-UPB1)"
" ";"Odloèba sodišèa - SKUPAJ";1076;801;448;385;924;689;399;351;152;112;49;34
" ";"11 Obtožni akt zavržen";59;32;24;14;44;28;18;11;15;4;6;3
" ";"12 Postopek ustavljen";217;229;143;158;189;197;128;141;28;32;15;17
" ";"13 Oprošèen obtožbe";135;84;69;55;107;67;64;50;28;17;5;5
" ";"14 Obtožba zavrnjena";86;70;59;31;80;59;48;31;6;11;11;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;1;-;-;-;1;-;-;-;-;-;-
" ";"16 Spoznan za krivega";579;385;153;127;504;337;141;118;75;48;12;9
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"Odloèba sodišèa - SKUPAJ";45;26;12;19;38;23;12;19;7;3;-;-
" ";"11 Obtožni akt zavržen";1;1;-;-;1;1;-;-;-;-;-;-
" ";"12 Postopek ustavljen";9;11;6;16;6;9;6;16;3;2;-;-
" ";"13 Oprošèen obtožbe";8;3;-;-;5;3;-;-;3;-;-;-
" ";"14 Obtožba zavrnjena";4;1;-;1;4;1;-;1;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";23;10;6;2;22;9;6;2;1;1;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127 umor"
" ";"Odloèba sodišèa - SKUPAJ";4;4;3;2;3;4;3;2;1;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";1;-;1;2;-;-;1;2;1;-;-;-
" ";"13 Oprošèen obtožbe";-;2;-;-;-;2;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";3;2;2;-;3;2;2;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127010 umor - od. 1."
" ";"Odloèba sodišèa - SKUPAJ";3;-;2;-;2;-;2;-;1;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";1;-;1;-;-;-;1;-;1;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";2;-;1;-;2;-;1;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127021 umor - od. 2, tè. 1"
" ";"Odloèba sodišèa - SKUPAJ";1;1;1;2;1;1;1;2;-;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;-;-;2;-;-;-;2;-;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";1;1;1;-;1;1;1;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127022 umor - od. 2, tè. 2"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Oprošèen obtožbe";-;1;-;-;-;1;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";-;-;-;-;-;-;-;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127024 umor - od. 2, tè. 4"
" ";"Odloèba sodišèa - SKUPAJ";-;2;-;-;-;2;-;-;-;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Oprošèen obtožbe";-;1;-;-;-;1;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";-;1;-;-;-;1;-;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.129 povzroèitev smrti iz malomarnosti"
" ";"Odloèba sodišèa - SKUPAJ";5;2;1;1;5;-;1;1;-;2;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;2;1;1;-;-;1;1;-;2;-;-
" ";"13 Oprošèen obtožbe";3;-;-;-;3;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";2;-;-;-;2;-;-;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.129000 povzroèitev smrti iz malomarnosti"
" ";"Odloèba sodišèa - SKUPAJ";5;2;1;1;5;-;1;1;-;2;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;2;1;1;-;-;1;1;-;2;-;-
" ";"13 Oprošèen obtožbe";3;-;-;-;3;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";2;-;-;-;2;-;-;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.133 lahka telesna poškodba"
" ";"Odloèba sodišèa - SKUPAJ";13;7;4;3;13;7;4;3;-;-;-;-
" ";"11 Obtožni akt zavržen";1;-;-;-;1;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";4;6;2;1;4;6;2;1;-;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";1;-;-;-;1;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";7;1;2;2;7;1;2;2;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.133010 lahka telesna poškodba - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";7;1;1;-;7;1;1;-;-;-;-;-
" ";"11 Obtožni akt zavržen";1;-;-;-;1;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";4;1;-;-;4;1;-;-;-;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";1;-;-;-;1;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";1;-;1;-;1;-;1;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.133021 lahka telesna poškodba - od. 2 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";6;6;3;3;6;6;3;3;-;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;5;2;1;-;5;2;1;-;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";6;1;1;2;6;1;1;2;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.134 huda telesna poškodba"
" ";"Odloèba sodišèa - SKUPAJ";18;12;4;12;12;11;4;12;6;1;-;-
" ";"11 Obtožni akt zavržen";-;1;-;-;-;1;-;-;-;-;-;-
" ";"12 Postopek ustavljen";3;3;2;12;1;3;2;12;2;-;-;-
" ";"13 Oprošèen obtožbe";4;-;-;-;1;-;-;-;3;-;-;-
" ";"14 Obtožba zavrnjena";3;1;-;-;3;1;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";8;7;2;-;7;6;2;-;1;1;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.134010 huda telesna poškodba - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";16;10;4;12;10;9;4;12;6;1;-;-
" ";"11 Obtožni akt zavržen";-;1;-;-;-;1;-;-;-;-;-;-
" ";"12 Postopek ustavljen";3;3;2;12;1;3;2;12;2;-;-;-
" ";"13 Oprošèen obtožbe";4;-;-;-;1;-;-;-;3;-;-;-
" ";"14 Obtožba zavrnjena";3;1;-;-;3;1;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";6;5;2;-;5;4;2;-;1;1;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.134021 huda telesna poškodba - od. 2 v zvezi z od 1"
" ";"Odloèba sodišèa - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";1;-;-;-;1;-;-;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.134031 huda telesna poškodba - od. 3 v zvezi z od 1"
" ";"Odloèba sodišèa - SKUPAJ";1;2;-;-;1;2;-;-;-;-;-;-
" ";"11 Obtožni akt zavržen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Postopek ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Oprošèen obtožbe";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Obtožba zavrnjena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"15 Izreèen varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Spoznan za krivega";1;2;-;-;1;2;-;-;-;-;-;-
" ";"17 Odstop tuji državi";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.135 posebno huda telesna poškodba"
" ";"Odloèba sodišèa - SKUPAJ";5;1;-;1;5;1;-;1;-;-;-;-
