"Polnoletni obsojenci [znani storilci] po: KAZNIVO DEJANJE, GLAVNA KAZEN, SPOL , LETO"

" ";"10000 Glavna kazen - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10100 Zaporna kazen [skupaj]";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10101 Zaporna kazen - nad 15 do 20 in 30 let";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10102 Zaporna kazen - nad 10 do 15 let";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10103 Zaporna kazen - nad 5 do 10 let";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10104 Zaporna kazen - nad 3 do 5 let";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10105 Zaporna kazen - nad 2 do 3 leta";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10106 Zaporna kazen - nad 1 do 2 leti";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10107 Zaporna kazen - nad 6 mes. do 1 leta";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10108 Zaporna kazen - nad 3 do 6 mes.";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10109 Zaporna kazen - nad 2 do 3 mes.";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10110 Zaporna kazen - nad 1 do 2 mes.";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10111 Zaporna kazen - do 30 dni";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10200 Denarna kazen";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10300 Sodni opomin";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10400 Kazen opušèena";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10500 Vzgojni ukrep [skupaj]";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10501 Vzgojni ukrep - nadzor organa socialnega skrbstva";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10502 Vzgojni ukrep - zavodski ukrep";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"10600 Varnostni ukrep brez izreka kazni";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" "
" ";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"KAZNIVA DEJANJA - SKUPAJ";8119;8685;8739;8035;8093;7596;8427;11321;7149;7590;7712;7083;7171;6681;7348;9945;970;1095;1027;952;922;915;1079;1376;7195;7838;7909;7516;7666;7080;7932;10757;6346;6844;6991;6621;6812;6231;6916;9456;849;994;918;895;854;849;1016;1301;4;4;2;0;4;6;5;8;4;4;2;0;3;6;5;8;0;0;0;0;1;0;0;0;12;7;8;4;3;6;4;12;12;6;7;4;3;6;4;12;0;1;1;0;0;0;0;0;44;51;45;32;28;48;32;62;44;49;41;30;28;48;30;58;0;2;4;2;0;0;2;4;106;82;82;45;68;68;91;112;103;76;76;44;64;67;86;103;3;6;6;1;4;1;5;9;91;93;105;76;79;102;93;167;84;89;102;69;73;97;83;162;7;4;3;7;6;5;10;5;463;584;656;554;653;618;724;1230;432;522;605;509;595;563;665;1142;31;62;51;45;58;55;59;88;1407;1407;1456;1371;1472;1322;1611;2587;1285;1302;1345;1249;1341;1191;1457;2354;122;105;111;122;131;131;154;233;2204;2577;2625;2491;2481;2340;2671;3481;1957;2278;2320;2237;2233;2078;2350;3061;247;299;305;254;248;262;321;420;1223;1395;1371;1247;1274;1190;1225;1415;1044;1179;1189;1075;1106;1020;1035;1201;179;216;182;172;168;170;190;214;1023;1069;1067;1155;1126;994;1043;1104;870;886;903;982;975;847;854;900;153;183;164;173;151;147;189;204;618;569;492;541;478;386;433;579;511;453;401;422;391;308;347;455;107;116;91;119;87;78;86;124;586;684;635;376;245;277;324;406;514;612;565;339;214;254;296;367;72;72;70;37;31;23;28;39;83;93;103;0;123;101;107;110;64;73;76;0;93;73;81;81;19;20;27;0;30;28;26;29;9;17;11;92;5;2;6;3;6;11;10;81;2;2;6;2;3;6;1;11;3;0;0;1;1;5;3;12;3;9;15;8;1;5;3;7;3;8;13;8;0;0;0;5;0;1;2;0;0;3;2;8;3;5;12;6;0;3;2;5;3;4;10;6;0;0;0;3;0;1;2;0;1;2;1;4;0;4;3;2;1;2;1;2;0;4;3;2;0;0;0;2;0;0;0;0;245;48;78;39;51;127;43;37;218;45;67;35;47;113;36;31;27;3;11;4;4;14;7;6
"1. KAZENSKI ZAKONIK [KZ-UPB1]";8101;8667;8702;6754;4600;2794;2015;1754;7132;7574;7678;5957;4103;2474;1738;1585;969;1093;1024;797;497;320;277;169;7178;7822;7881;6288;4385;2664;1947;1719;6330;6829;6965;5541;3921;2364;1678;1554;848;993;916;747;464;300;269;165;4;4;2;0;3;3;3;4;4;4;2;0;3;3;3;4;0;0;0;0;0;0;0;0;12;7;8;3;3;4;2;0;12;6;7;3;3;4;2;0;0;1;1;0;0;0;0;0;44;51;45;27;10;17;9;14;44;49;41;25;10;17;8;13;0;2;4;2;0;0;1;1;105;81;81;41;37;28;26;26;102;75;75;40;34;28;24;25;3;6;6;1;3;0;2;1;90;93;105;65;42;43;21;46;83;89;102;60;38;39;17;43;7;4;3;5;4;4;4;3;460;580;654;473;430;292;229;371;429;518;603;431;389;265;210;345;31;62;51;42;41;27;19;26;1399;1405;1454;1225;1055;692;557;575;1278;1300;1343;1111;957;614;494;521;121;105;111;114;98;78;63;54;2201;2573;2620;2128;1575;954;680;458;1954;2274;2315;1905;1418;854;586;406;247;299;305;223;157;100;94;52;1222;1392;1365;1015;646;363;225;130;1043;1177;1183;869;567;308;178;120;179;215;182;146;79;55;47;10;1023;1067;1060;924;419;206;157;77;870;884;897;789;370;181;124;61;153;183;163;135;49;25;33;16;618;569;487;387;165;62;38;18;511;453;397;308;132;51;32;16;107;116;90;79;33;11;6;2;586;683;626;344;116;65;39;25;514;611;557;309;100;57;35;22;72;72;69;35;16;8;4;3;83;92;103;0;64;24;15;7;64;73;76;0;51;15;12;7;19;19;27;0;13;9;3;0;9;17;11;80;3;0;1;1;6;11;10;73;2;0;1;0;3;6;1;7;1;0;0;1;1;5;3;11;1;1;3;0;1;5;3;6;1;1;3;0;0;0;0;5;0;0;0;0;0;3;2;7;1;1;2;0;0;3;2;4;1;1;2;0;0;0;0;3;0;0;0;0;1;2;1;4;0;0;1;0;1;2;1;2;0;0;1;0;0;0;0;2;0;0;0;0;244;48;78;31;31;40;10;2;217;45;67;28;28;37;9;2;27;3;11;3;3;3;1;0
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO";838;765;785;619;431;259;128;93;801;710;740;582;399;241;122;90;37;55;45;37;32;18;6;3;759;687;698;567;397;248;118;91;727;634;660;534;372;232;112;88;32;53;38;33;25;16;6;3;4;4;1;0;2;0;2;2;4;4;1;0;2;0;2;2;0;0;0;0;0;0;0;0;12;5;6;3;1;0;0;0;12;5;5;3;1;0;0;0;0;0;1;0;0;0;0;0;11;13;12;7;2;3;4;0;11;11;11;5;2;3;3;0;0;2;1;2;0;0;1;0;14;12;6;2;2;4;1;2;14;10;5;2;1;4;1;2;0;2;1;0;1;0;0;0;3;4;5;4;3;1;2;2;3;4;5;4;2;0;2;2;0;0;0;0;1;1;0;0;18;22;23;14;17;10;13;13;16;21;22;11;16;10;11;13;2;1;1;3;1;0;2;0;82;93;109;87;80;58;29;27;81;90;106;83;75;55;28;26;1;3;3;4;5;3;1;1;269;253;271;206;164;105;43;27;261;238;257;201;157;99;41;26;8;15;14;5;7;6;2;1;175;170;134;118;66;46;14;13;165;156;126;110;61;42;14;13;10;14;8;8;5;4;0;0;117;76;102;93;46;15;9;4;113;67;94;86;42;13;9;3;4;9;8;7;4;2;0;1;54;35;29;33;14;6;1;1;47;28;28;29;13;6;1;1;7;7;1;4;1;0;0;0;38;56;59;39;10;2;5;0;35;56;57;37;9;2;5;0;3;0;2;2;1;0;0;0;12;14;14;0;18;4;2;1;11;12;10;0;14;2;2;1;1;2;4;0;4;2;0;0;0;1;1;11;1;0;1;0;0;1;1;9;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;7;13;2;5;4;0;1;28;7;12;2;4;4;0;1;1;0;1;0;1;0;0;0
"1.XV.127 umor";42;29;27;18;7;4;6;4;40;26;24;15;6;3;5;4;2;3;3;3;1;1;1;0;37;28;23;18;7;4;6;4;35;25;20;15;6;3;5;4;2;3;3;3;1;1;1;0;4;4;1;0;2;0;2;2;4;4;1;0;2;0;2;2;0;0;0;0;0;0;0;0;11;5;6;3;1;0;0;0;11;5;5;3;1;0;0;0;0;0;1;0;0;0;0;0;10;7;10;4;1;1;3;0;10;5;9;2;1;1;2;0;0;2;1;2;0;0;1;0;10;7;4;0;1;0;1;0;10;6;3;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;2;2;1;5;1;2;0;0;0;2;1;4;1;2;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;4;0;0;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"1.XV.127010 umor - od. 1.";33;22;21;13;5;4;4;2;33;19;19;11;4;3;3;2;0;3;2;2;1;1;1;0;29;21;18;13;5;4;4;2;29;18;16;11;4;3;3;2;0;3;2;2;1;1;1;0;2;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;3;4;2;0;0;0;0;8;3;3;2;0;0;0;0;0;0;1;0;0;0;0;0;9;7;9;4;1;1;3;0;9;5;8;2;1;1;2;0;0;2;1;2;0;0;1;0;10;7;3;0;1;0;1;0;10;6;3;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;2;1;3;1;2;0;0;0;2;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"1.XV.127021 umor - od. 2, tè. 1";7;6;5;4;2;0;0;0;7;6;4;3;2;0;0;0;0;0;1;1;0;0;0;0;6;6;4;4;2;0;0;0;6;6;3;3;2;0;0;0;0;0;1;1;0;0;0;0;2;4;1;0;1;0;0;0;2;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;2;1;1;0;0;0;3;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"1.XV.127022 umor - od. 2, tè. 2";0;1;0;1;0;0;2;2;0;1;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2;0;1;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1.XV.127023 umor - od. 2, tè. 3";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
