"Mladoletniki (znani storilci), katerim je bil izreèen vzgojni ukrep ali kazen po: KAZNIVO DEJANJE, KAZENSKA SANKCIJA, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";"Moški";" ";" ";" ";"Ženske";" ";" ";" "
" ";" ";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017"
"KAZNIVO DEJANJE - SKUPAJ"
" ";"Glavna kazen - SKUPAJ";319;315;319;269;282;272;289;241;37;43;30;28
" ";"Mladoletniški zapor";1;2;2;3;1;2;2;3;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";313;313;317;266;276;270;287;238;37;43;30;28
" ";"Vzgojni ukrep - ukor";33;36;33;31;25;29;26;23;8;7;7;8
" ";"Vzgojni ukrep - navodila in prepovedi";42;30;70;76;37;26;63;69;5;4;7;7
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";201;223;188;136;180;191;174;125;21;32;14;11
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";26;13;13;13;23;13;11;11;3;-;2;2
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";9;10;13;10;9;10;13;10;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";2;1;-;-;2;1;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";5;-;-;-;5;-;-;-;-;-;-;-
"1. KAZENSKI ZAKONIK (KZ-UPB1)"
" ";"Glavna kazen - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"1.XXIX KAZNIVA DEJANJA ZOPER JAVNI RED IN MIR"
" ";"Glavna kazen - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"1.XXIX.303 napad na uradno osebo, ko ta opravlja naloge varnosti"
" ";"Glavna kazen - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"1.XXIX.303031 napad na uradno osebo, ko ta opravlja naloge varnosti - od. 3 v zvezi z od. 1"
" ";"Glavna kazen - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4. KAZENSKI ZAKONIK (KZ-1)"
" ";"Glavna kazen - SKUPAJ";18;243;264;269;17;218;238;241;1;25;26;28
" ";"Mladoletniški zapor";-;2;2;3;-;2;2;3;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";18;241;262;266;17;216;236;238;1;25;26;28
" ";"Vzgojni ukrep - ukor";2;30;30;31;2;25;25;23;-;5;5;8
" ";"Vzgojni ukrep - navodila in prepovedi";4;26;59;76;4;23;52;69;-;3;7;7
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";8;166;157;136;7;149;145;125;1;17;12;11
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";3;9;7;13;3;9;5;11;-;-;2;2
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";1;10;9;10;1;10;9;10;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"Glavna kazen - SKUPAJ";4;16;29;22;4;15;28;18;-;1;1;4
" ";"Mladoletniški zapor";-;1;1;-;-;1;1;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";4;15;28;22;4;14;27;18;-;1;1;4
" ";"Vzgojni ukrep - ukor";-;1;3;4;-;-;3;3;-;1;-;1
" ";"Vzgojni ukrep - navodila in prepovedi";1;2;6;4;1;2;6;3;-;-;-;1
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";3;12;17;11;3;12;17;10;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;1;3;-;-;-;2;-;-;1;1
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.115 uboj"
" ";"Glavna kazen - SKUPAJ";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.115010 uboj - od. 1"
" ";"Glavna kazen - SKUPAJ";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Mladoletniški zapor";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.116 umor"
" ";"Glavna kazen - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.116004 umor - tè. 4"
" ";"Glavna kazen - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Mladoletniški zapor";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - ukor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - navodila in prepovedi";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.122 lahka telesna poškodba"
" ";"Glavna kazen - SKUPAJ";3;11;17;18;3;10;17;14;-;1;-;4
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";3;11;17;18;3;10;17;14;-;1;-;4
" ";"Vzgojni ukrep - ukor";-;1;1;3;-;-;1;2;-;1;-;1
" ";"Vzgojni ukrep - navodila in prepovedi";1;1;5;3;1;1;5;2;-;-;-;1
" ";"Vzgojni ukrep - nadzorstvo organa socialnega skrbstva";2;9;11;9;2;9;11;8;-;-;-;1
" ";"Vzgojni ukrep - oddaja v vzgojni zavod";-;-;-;3;-;-;-;2;-;-;-;1
" ";"Vzgojni ukrep - oddaja v prevzgojni dom";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrep - oddaja v zavod za usposabljanje";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Ni izreèen vzgojni ukrep ali kazen";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.122010 lahka telesna poškodba - od. 1"
" ";"Glavna kazen - SKUPAJ";3;6;13;12;3;6;13;9;-;-;-;3
" ";"Mladoletniški zapor";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Vzgojni ukrepi (skupaj)";3;6;13;12;3;6;13;9;-;-;-;3
" ";"Vzgojni ukrep - ukor";-;-;1;3;-;-;1;2;-;-;-;1
