"Mladoletniki, proti katerim je bil kazenski postopek pred senatom pravnomoèno konèan po: KAZNIVO DEJANJE, VRSTA ODLOÈBE, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";"Moški";" ";" ";" ";"Ženske";" ";" ";" "
" ";" ";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017"
"KAZNIVO DEJANJE - SKUPAJ"
" ";"Odloèba sodišèa - SKUPAJ";500;747;663;523;452;661;593;473;48;86;70;50
" ";"Postopek pred senatom ustavljen";181;432;344;254;170;389;304;232;11;43;40;22
" ";"Izreèen samostojni varnostni ukrep";5;-;-;-;5;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";314;315;319;269;277;272;289;241;37;43;30;28
"1. KAZENSKI ZAKONIK (KZ-UPB1)"
" ";"Odloèba sodišèa - SKUPAJ";1;-;1;-;1;-;1;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";1;-;-;-;1;-;-;-;-;-;-;-
"1.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST"
" ";"Odloèba sodišèa - SKUPAJ";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"1.XIX.183 spolni napad na otroka"
" ";"Odloèba sodišèa - SKUPAJ";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"1.XIX.183030 spolni napad na otroka - od. 3"
" ";"Odloèba sodišèa - SKUPAJ";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"1.XXIX KAZNIVA DEJANJA ZOPER JAVNI RED IN MIR"
" ";"Odloèba sodišèa - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";1;-;-;-;1;-;-;-;-;-;-;-
"1.XXIX.303 napad na uradno osebo, ko ta opravlja naloge varnosti"
" ";"Odloèba sodišèa - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";1;-;-;-;1;-;-;-;-;-;-;-
"1.XXIX.303031 napad na uradno osebo, ko ta opravlja naloge varnosti - od. 3 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";1;-;-;-;1;-;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";1;-;-;-;1;-;-;-;-;-;-;-
"4. KAZENSKI ZAKONIK (KZ-1)"
" ";"Odloèba sodišèa - SKUPAJ";34;578;557;523;31;525;495;473;3;53;62;50
" ";"Postopek pred senatom ustavljen";16;335;293;254;14;307;257;232;2;28;36;22
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";18;243;264;269;17;218;238;241;1;25;26;28
"4.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"Odloèba sodišèa - SKUPAJ";4;40;51;37;4;37;47;29;-;3;4;8
" ";"Postopek pred senatom ustavljen";-;24;22;15;-;22;19;11;-;2;3;4
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";4;16;29;22;4;15;28;18;-;1;1;4
"4.XV.115 uboj"
" ";"Odloèba sodišèa - SKUPAJ";-;-;2;1;-;-;2;-;-;-;-;1
" ";"Postopek pred senatom ustavljen";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;2;-;-;-;2;-;-;-;-;-
"4.XV.115010 uboj - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;2;1;-;-;2;-;-;-;-;1
" ";"Postopek pred senatom ustavljen";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;2;-;-;-;2;-;-;-;-;-
"4.XV.116 umor"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;-;-;1;-;-;-;-;-;-
"4.XV.116004 umor - tè. 4"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;-;-;1;-;-;-;-;-;-
"4.XV.118 povzroèitev smrti iz malomarnosti"
" ";"Odloèba sodišèa - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Postopek pred senatom ustavljen";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.118000 povzroèitev smrti iz malomarnosti"
" ";"Odloèba sodišèa - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Postopek pred senatom ustavljen";-;-;-;1;-;-;-;-;-;-;-;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.122 lahka telesna poškodba"
" ";"Odloèba sodišèa - SKUPAJ";3;34;34;26;3;31;31;20;-;3;3;6
" ";"Postopek pred senatom ustavljen";-;23;17;8;-;21;14;6;-;2;3;2
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";3;11;17;18;3;10;17;14;-;1;-;4
"4.XV.122010 lahka telesna poškodba - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";3;25;21;18;3;23;20;13;-;2;1;5
" ";"Postopek pred senatom ustavljen";-;19;8;6;-;17;7;4;-;2;1;2
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";3;6;13;12;3;6;13;9;-;-;-;3
"4.XV.122021 lahka telesna poškodba - od. 2 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;9;13;8;-;8;11;7;-;1;2;1
" ";"Postopek pred senatom ustavljen";-;4;9;2;-;4;7;2;-;-;2;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;5;4;6;-;4;4;5;-;1;-;1
"4.XV.123 huda telesna poškodba"
" ";"Odloèba sodišèa - SKUPAJ";1;2;10;7;1;2;9;7;-;-;1;-
" ";"Postopek pred senatom ustavljen";-;-;3;3;-;-;3;3;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";1;2;7;4;1;2;6;4;-;-;1;-
"4.XV.123010 huda telesna poškodba - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";1;2;8;6;1;2;7;6;-;-;1;-
" ";"Postopek pred senatom ustavljen";-;-;3;2;-;-;3;2;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";1;2;5;4;1;2;4;4;-;-;1;-
"4.XV.123031 huda telesna poškodba - od. 3 v zvezi z od 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;2;1;-;-;2;1;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;2;-;-;-;2;-;-;-;-;-
"4.XV.124 posebno huda telesna poškodba"
" ";"Odloèba sodišèa - SKUPAJ";-;2;3;-;-;2;3;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;2;1;-;-;2;1;-;-;-;-;-
"4.XV.124010 posebno huda telesna poškodba - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;2;1;-;-;2;1;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;2;1;-;-;2;1;-;-;-;-;-
"4.XV.124031 posebno huda telesna poškodba - od. 3 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.126 sodelovanje pri pretepu"
" ";"Odloèba sodišèa - SKUPAJ";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;2;-;-;-;2;-;-;-;-;-
"4.XV.126000 sodelovanje pri pretepu"
" ";"Odloèba sodišèa - SKUPAJ";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;2;-;-;-;2;-;-;-;-;-
"4.XV.127 ogrožanje z nevarnim orodjem pri pretepu ali prepiru"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;2;-;1;-;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;1;-;2;-;1;-;2;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"4.XV.127010 ogrožanje z nevarnim orodjem pri pretepu ali prepiru - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;2;-;1;-;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;1;-;2;-;1;-;2;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
