"Mladoletniki zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po: KAZNIVO DEJANJE, STAROST, VRSTA ODLOÈBE, SPOL , LETO"

" ";" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";"Ženske";" ";" ";" ";" "
" ";" ";" ";"2013";"2014";"2015";"2016";"2017";"2013";"2014";"2015";"2016";"2017";"2013";"2014";"2015";"2016";"2017"
"KAZNIVO DEJANJE - SKUPAJ"
" ";"Starost - SKUPAJ"
" ";" ";"Odloèba tožilstva - SKUPAJ";1714;2299;1933;1720;1474;1375;1829;1587;1477;1225;339;470;346;243;249
" ";" ";"Zavrženje ovadbe";851;980;918;770;673;607;670;707;630;507;244;310;211;140;166
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";774;819;560;540;470;687;705;489;485;422;87;114;71;55;48
" ";" ";"Ovadbe rešene na drug naèin";89;-;8;8;2;81;-;3;7;2;8;-;5;1;-
" ";" ";"Podan predlog za kaznovanje";-;7;4;4;8;-;7;4;4;7;-;-;-;-;1
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;493;443;398;321;-;447;384;351;287;-;46;59;47;34
" ";"12 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;1;1;-;-;-;1;1;-;-;-;-;-
" ";" ";"Zavrženje ovadbe";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";-;-;-;-;5;-;-;-;-;4;-;-;-;-;1
" ";" ";"Zavrženje ovadbe";-;-;-;-;3;-;-;-;-;2;-;-;-;-;1
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Ovadbe rešene na drug naèin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za kaznovanje";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Podan predlog za izrek vzgojnega ukrepa";-;-;-;-;2;-;-;-;-;2;-;-;-;-;-
" ";"14 let"
" ";" ";"Odloèba tožilstva - SKUPAJ";106;191;134;140;114;85;153;106;119;97;21;38;28;21;17
" ";" ";"Zavrženje ovadbe";57;79;72;70;58;41;58;60;56;45;16;21;12;14;13
" ";" ";"Podan predlog za uvedbo pripravljalnega postopka";44;68;26;40;35;39;56;19;37;33;5;12;7;3;2
" ";" ";"Ovadbe rešene na drug naèin";5;-;2;2;-;5;-;-;2;-;0;-;2;-;-
