"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA KAZEN, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";"Moški";" ";" ";" ";"Ženske";" ";" ";" "
" ";" ";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017";"2014";"2015";"2016";"2017"
"KAZNIVO DEJANJE - SKUPAJ"
" ";"Glavna kazen - SKUPAJ";9410;7926;6687;6252;8046;6832;5691;5392;1364;1094;996;860
" ";"11 Zaporna kazen";8925;7468;6276;5689;7642;6450;5358;4911;1283;1018;918;778
" ";"111 Zaporna kazen (nepogojna)";1938;1848;1396;1259;1791;1690;1267;1152;147;158;129;107
" ";"11101 Zaporna kazen - nad 10 let  (nepogojna)";24;16;7;8;23;16;6;8;1;-;1;-
" ";"11100 Zaporna kazen - nad 2 do 10 let (nepogojna)";254;318;123;96;240;302;116;91;14;16;7;5
" ";"11105 Zaporna kazen - nad 1 do 2 leti (nepogojna)";384;380;215;210;361;350;189;197;23;30;26;13
" ";"11106 Zaporna kazen - nad 6 mes. do 1 leta (nepogojna)";515;494;452;425;477;453;419;392;38;41;33;33
" ";"11107 Zaporna kazen - nad 3 do 6 mes. (nepogojna)";482;425;362;303;446;390;329;272;36;35;33;31
" ";"11108 Zaporna kazen - nad 2 do 3 mes. (nepogojna)";149;105;115;100;134;87;104;87;15;18;11;13
" ";"11109 Zaporna kazen - nad 1 do 2 mes. (nepogojna)";101;78;79;92;85;67;71;81;16;11;8;11
" ";"11110 Zaporna kazen - do 30 dni (nepogojna)";29;32;43;25;25;25;33;24;4;7;10;1
" ";"112 Zaporna kazen (pogojna)";6987;5620;4880;4430;5851;4760;4091;3759;1136;860;789;671
" ";"11205 Zaporna kazen - nad 1 do 2 leti (pogojna)";640;498;294;229;568;452;255;205;72;46;39;24
" ";"11206 Zaporna kazen - nad 6 mes. do 1 leta (pogojna)";1612;1285;1079;995;1408;1129;952;867;204;156;127;128
" ";"11207 Zaporna kazen - nad 3 do 6 mes. (pogojna)";2537;2072;1827;1677;2139;1768;1543;1434;398;304;284;243
" ";"11208 Zaporna kazen - nad 2 do 3 mes. (pogojna)";1083;917;801;713;873;751;670;600;210;166;131;113
" ";"11209 Zaporna kazen - nad 1 do 2 mes. (pogojna)";781;594;599;566;616;452;466;451;165;142;133;115
" ";"11210 Zaporna kazen - do 30 dni (pogojna)";334;254;280;250;247;208;205;202;87;46;75;48
" ";"12 Denarna kazen";374;348;332;459;322;297;279;401;52;51;53;58
" ";"120 Denarna kazen (nepogojna)";351;317;309;444;309;276;261;390;42;41;48;54
" ";"121 Denarna kazen (pogojna)";23;31;23;15;13;21;18;11;10;10;5;4
" ";"13 Sodni opomin";74;-;-;-;50;-;-;-;24;-;-;-
" ";"14 Kazen opušèena";2;66;46;56;-;47;25;40;2;19;21;16
" ";"16 Varnostni ukrep brez izreka kazni";35;44;33;48;32;38;29;40;3;6;4;8
"1. KAZENSKI ZAKONIK (KZ-UPB1)"
" ";"Glavna kazen - SKUPAJ";579;386;153;127;504;338;141;118;75;48;12;9
" ";"11 Zaporna kazen";569;379;151;124;497;331;139;115;72;48;12;9
" ";"111 Zaporna kazen (nepogojna)";156;147;40;30;148;133;37;28;8;14;3;2
" ";"11101 Zaporna kazen - nad 10 let  (nepogojna)";4;6;1;1;4;6;1;1;-;-;-;-
" ";"11100 Zaporna kazen - nad 2 do 10 let (nepogojna)";38;39;11;6;35;36;9;6;3;3;2;-
" ";"11105 Zaporna kazen - nad 1 do 2 leti (nepogojna)";35;45;13;9;31;39;13;8;4;6;-;1
" ";"11106 Zaporna kazen - nad 6 mes. do 1 leta (nepogojna)";37;32;11;11;37;29;11;10;-;3;-;1
" ";"11107 Zaporna kazen - nad 3 do 6 mes. (nepogojna)";31;19;2;2;30;18;1;2;1;1;1;-
" ";"11108 Zaporna kazen - nad 2 do 3 mes. (nepogojna)";6;3;1;1;6;3;1;1;-;-;-;-
" ";"11109 Zaporna kazen - nad 1 do 2 mes. (nepogojna)";2;1;1;-;2;1;1;-;-;-;-;-
" ";"11110 Zaporna kazen - do 30 dni (nepogojna)";3;2;-;-;3;1;-;-;-;1;-;-
" ";"112 Zaporna kazen (pogojna)";413;232;111;94;349;198;102;87;64;34;9;7
" ";"11205 Zaporna kazen - nad 1 do 2 leti (pogojna)";78;66;25;23;67;63;23;19;11;3;2;4
" ";"11206 Zaporna kazen - nad 6 mes. do 1 leta (pogojna)";152;84;51;36;131;73;46;36;21;11;5;-
" ";"11207 Zaporna kazen - nad 3 do 6 mes. (pogojna)";123;61;26;23;102;46;24;22;21;15;2;1
" ";"11208 Zaporna kazen - nad 2 do 3 mes. (pogojna)";31;15;3;4;24;11;3;4;7;4;-;-
" ";"11209 Zaporna kazen - nad 1 do 2 mes. (pogojna)";18;4;5;5;17;3;5;5;1;1;-;-
" ";"11210 Zaporna kazen - do 30 dni (pogojna)";11;2;1;3;8;2;1;1;3;-;-;2
" ";"12 Denarna kazen";9;6;1;3;7;6;1;3;2;-;-;-
" ";"120 Denarna kazen (nepogojna)";8;6;-;3;6;6;-;3;2;-;-;-
" ";"121 Denarna kazen (pogojna)";1;-;1;-;1;-;1;-;-;-;-;-
" ";"13 Sodni opomin";1;-;-;-;-;-;-;-;1;-;-;-
" ";"14 Kazen opušèena";-;-;1;-;-;-;1;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;1;-;-;-;1;-;-;-;-;-;-
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO"
" ";"Glavna kazen - SKUPAJ";23;10;6;2;22;9;6;2;1;1;-;-
" ";"11 Zaporna kazen";23;10;6;2;22;9;6;2;1;1;-;-
" ";"111 Zaporna kazen (nepogojna)";9;4;2;-;8;4;2;-;1;-;-;-
" ";"11101 Zaporna kazen - nad 10 let  (nepogojna)";2;1;1;-;2;1;1;-;-;-;-;-
" ";"11100 Zaporna kazen - nad 2 do 10 let (nepogojna)";1;-;1;-;1;-;1;-;-;-;-;-
" ";"11105 Zaporna kazen - nad 1 do 2 leti (nepogojna)";3;-;-;-;3;-;-;-;-;-;-;-
" ";"11106 Zaporna kazen - nad 6 mes. do 1 leta (nepogojna)";-;1;-;-;-;1;-;-;-;-;-;-
" ";"11107 Zaporna kazen - nad 3 do 6 mes. (nepogojna)";3;2;-;-;2;2;-;-;1;-;-;-
" ";"11108 Zaporna kazen - nad 2 do 3 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11109 Zaporna kazen - nad 1 do 2 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11110 Zaporna kazen - do 30 dni (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";14;6;4;2;14;5;4;2;-;1;-;-
" ";"11205 Zaporna kazen - nad 1 do 2 leti (pogojna)";3;2;2;-;3;2;2;-;-;-;-;-
" ";"11206 Zaporna kazen - nad 6 mes. do 1 leta (pogojna)";2;2;2;-;2;1;2;-;-;1;-;-
" ";"11207 Zaporna kazen - nad 3 do 6 mes. (pogojna)";5;2;-;1;5;2;-;1;-;-;-;-
" ";"11208 Zaporna kazen - nad 2 do 3 mes. (pogojna)";1;-;-;1;1;-;-;1;-;-;-;-
" ";"11209 Zaporna kazen - nad 1 do 2 mes. (pogojna)";3;-;-;-;3;-;-;-;-;-;-;-
" ";"11210 Zaporna kazen - do 30 dni (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"120 Denarna kazen (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"121 Denarna kazen (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127 umor"
" ";"Glavna kazen - SKUPAJ";3;2;2;-;3;2;2;-;-;-;-;-
" ";"11 Zaporna kazen";3;2;2;-;3;2;2;-;-;-;-;-
" ";"111 Zaporna kazen (nepogojna)";3;2;2;-;3;2;2;-;-;-;-;-
" ";"11101 Zaporna kazen - nad 10 let  (nepogojna)";2;1;1;-;2;1;1;-;-;-;-;-
" ";"11100 Zaporna kazen - nad 2 do 10 let (nepogojna)";-;-;1;-;-;-;1;-;-;-;-;-
" ";"11105 Zaporna kazen - nad 1 do 2 leti (nepogojna)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"11106 Zaporna kazen - nad 6 mes. do 1 leta (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11107 Zaporna kazen - nad 3 do 6 mes. (nepogojna)";-;1;-;-;-;1;-;-;-;-;-;-
" ";"11108 Zaporna kazen - nad 2 do 3 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11109 Zaporna kazen - nad 1 do 2 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11110 Zaporna kazen - do 30 dni (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11205 Zaporna kazen - nad 1 do 2 leti (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11206 Zaporna kazen - nad 6 mes. do 1 leta (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11207 Zaporna kazen - nad 3 do 6 mes. (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11208 Zaporna kazen - nad 2 do 3 mes. (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11209 Zaporna kazen - nad 1 do 2 mes. (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11210 Zaporna kazen - do 30 dni (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"120 Denarna kazen (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"121 Denarna kazen (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127010 umor - od. 1."
" ";"Glavna kazen - SKUPAJ";2;-;1;-;2;-;1;-;-;-;-;-
" ";"11 Zaporna kazen";2;-;1;-;2;-;1;-;-;-;-;-
" ";"111 Zaporna kazen (nepogojna)";2;-;1;-;2;-;1;-;-;-;-;-
" ";"11101 Zaporna kazen - nad 10 let  (nepogojna)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"11100 Zaporna kazen - nad 2 do 10 let (nepogojna)";-;-;1;-;-;-;1;-;-;-;-;-
" ";"11105 Zaporna kazen - nad 1 do 2 leti (nepogojna)";1;-;-;-;1;-;-;-;-;-;-;-
" ";"11106 Zaporna kazen - nad 6 mes. do 1 leta (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11107 Zaporna kazen - nad 3 do 6 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11108 Zaporna kazen - nad 2 do 3 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11109 Zaporna kazen - nad 1 do 2 mes. (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11110 Zaporna kazen - do 30 dni (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11205 Zaporna kazen - nad 1 do 2 leti (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11206 Zaporna kazen - nad 6 mes. do 1 leta (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11207 Zaporna kazen - nad 3 do 6 mes. (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11208 Zaporna kazen - nad 2 do 3 mes. (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11209 Zaporna kazen - nad 1 do 2 mes. (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"11210 Zaporna kazen - do 30 dni (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"120 Denarna kazen (nepogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"121 Denarna kazen (pogojna)";-;-;-;-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.127021 umor - od. 2, tè. 1"
